TxID,Zone,CID,"r_{i,t}","phi_{i,t}","p_{i,t,j,1}",Aadhaar,Device Drain,Temp (°C),Elevation (m),Proxy Access,Scan Result
T000298,Z3,f976f2,1,0.26,0.818,Anonymous,20%,36.6,412,Disabled,Valid
T000299,Z1,6046d2,1,0.38,0.653,Linked,60%,35.8,235,Disabled,Failed
T000300,Z2,dc847e,1,0.272,0.838,Linked,24%,33.8,212,Disabled,Valid
T000301,Z2,f40265,1,0.29,0.638,Linked,30%,34.4,810,Enabled,Valid
T000302,Z3,1a901f,1,0.275,0.843,Linked,25%,38.6,160,Disabled,Valid
T000303,Z3,8fbb3c,1,0.419,0.418,Anonymous,73%,33.8,837,Enabled,Failed
T000304,Z5,4161c0,1,0.269,0.818,Linked,23%,40.4,336,Disabled,Valid
T000305,Z1,a1c133,1,0.41,0.519,Linked,70%,32.5,407,Enabled,Failed
T000306,Z1,b47e5d,1,0.323,0.644,Linked,41%,33.2,755,Disabled,Failed
T000307,Z5,ab4869,1,0.314,0.721,Linked,38%,39.1,194,Enabled,Valid
T000308,Z4,af3627,1,0.44,0.379,Anonymous,80%,33.9,855,Enabled,Valid
T000309,Z3,7230e3,1,0.455,0.475,Anonymous,85%,41.6,500,Disabled,Failed
T000310,Z2,eedb79,1,0.317,0.731,Anonymous,39%,35.1,119,Enabled,Valid
T000311,Z4,eb9881,1,0.389,0.591,Linked,63%,34.4,222,Enabled,Failed
T000312,Z1,d9df70,1,0.404,0.605,Anonymous,68%,41.6,273,Disabled,Valid
T000313,Z2,ebccea,1,0.278,0.743,Linked,26%,30.6,634,Disabled,Valid
T000314,Z4,b43de2,1,0.317,0.702,Anonymous,39%,28.1,515,Disabled,Failed
T000315,Z5,eb3668,1,0.401,0.429,Linked,67%,34.0,932,Enabled,Failed
T000316,Z2,5fc044,1,0.275,0.73,Anonymous,25%,28.4,723,Disabled,Valid
T000317,Z5,a8dac3,1,0.263,0.679,Anonymous,21%,37.7,828,Enabled,Valid
T000318,Z3,613621,1,0.401,0.543,Linked,67%,35.3,611,Disabled,Valid
T000319,Z2,037f1a,1,0.278,0.636,Linked,26%,30.0,920,Enabled,Failed
T000320,Z1,5a5483,1,0.254,0.658,Linked,18%,30.0,1008,Enabled,Valid
T000321,Z3,98fc4d,1,0.293,0.598,Anonymous,31%,40.9,987,Enabled,Failed
T000322,Z4,6f3c5e,1,0.365,0.578,Anonymous,55%,30.2,483,Enabled,Valid
T000323,Z2,ece96d,1,0.386,0.474,Anonymous,62%,40.2,1081,Disabled,Valid
T000324,Z4,5e231a,1,0.47,0.472,Linked,90%,41.9,139,Enabled,Failed
T000325,Z3,6a00dd,1,0.446,0.411,Anonymous,82%,34.5,895,Disabled,Valid
T000326,Z3,38a317,1,0.251,0.702,Linked,17%,39.1,1066,Disabled,Valid
T000327,Z5,7d9971,1,0.32,0.707,Linked,40%,31.0,214,Enabled,Failed
T000328,Z2,8901b2,1,0.296,0.64,Anonymous,32%,30.5,751,Enabled,Failed
T000329,Z3,33502e,1,0.446,0.318,Anonymous,82%,41.2,1108,Enabled,Valid
T000330,Z4,35c3b2,1,0.461,0.279,Linked,87%,30.3,1178,Enabled,Valid
T000331,Z5,e6a2dd,1,0.353,0.615,Anonymous,51%,27.9,402,Enabled,Failed
T000332,Z2,0da021,1,0.371,0.483,Anonymous,57%,37.6,910,Enabled,Valid
T000333,Z3,172312,1,0.416,0.549,Linked,72%,36.7,456,Disabled,Failed
T000334,Z5,7c3a22,1,0.347,0.614,Linked,49%,38.0,703,Disabled,Valid
T000335,Z1,9709fa,1,0.461,0.405,Linked,87%,31.8,552,Enabled,Failed
T000336,Z4,8bc3dc,1,0.362,0.591,Linked,54%,41.7,443,Enabled,Failed
T000337,Z1,e63a57,1,0.308,0.772,Linked,36%,30.7,238,Disabled,Valid
T000338,Z1,05b667,1,0.389,0.496,Anonymous,63%,41.5,947,Disabled,Failed
T000339,Z3,3cfbda,1,0.449,0.473,Linked,83%,36.8,561,Disabled,Valid
T000340,Z1,449872,1,0.269,0.795,Anonymous,23%,28.1,448,Disabled,Valid
T000341,Z1,78fe81,1,0.239,0.848,Anonymous,13%,33.5,437,Disabled,Failed
T000342,Z2,b625df,1,0.302,0.651,Anonymous,34%,33.1,643,Enabled,Valid
T000343,Z2,793b38,1,0.287,0.834,Anonymous,29%,27.8,107,Disabled,Valid
T000344,Z5,4b63a2,1,0.308,0.631,Linked,36%,29.6,697,Enabled,Valid
T000345,Z1,23da35,1,0.329,0.606,Anonymous,43%,28.4,893,Disabled,Valid
T000346,Z4,d9d077,1,0.329,0.607,Anonymous,43%,33.6,639,Enabled,Failed
T000347,Z5,5aa378,1,0.362,0.491,Linked,54%,39.1,947,Enabled,Failed
T000348,Z5,b72322,1,0.449,0.37,Anonymous,83%,40.2,1075,Disabled,Valid
T000349,Z1,81b721,1,0.401,0.527,Linked,67%,29.6,442,Enabled,Failed
T000350,Z2,b3bd77,1,0.305,0.745,Linked,35%,42.0,402,Disabled,Valid
T000351,Z3,4ac5af,1,0.44,0.467,Anonymous,80%,31.9,665,Disabled,Valid
T000352,Z1,f5e598,1,0.389,0.574,Anonymous,63%,29.2,305,Enabled,Valid
T000353,Z1,3267a0,1,0.329,0.566,Anonymous,43%,32.7,1094,Disabled,Failed
T000354,Z1,d7c24f,1,0.467,0.321,Anonymous,89%,36.1,922,Enabled,Failed
T000355,Z3,e9de31,1,0.371,0.571,Anonymous,57%,27.3,720,Disabled,Valid
T000356,Z4,9abd04,1,0.398,0.519,Linked,66%,38.6,757,Disabled,Failed
T000357,Z5,13347f,1,0.386,0.409,Anonymous,62%,38.1,1157,Enabled,Valid
T000358,Z1,1f3035,1,0.422,0.395,Linked,74%,33.1,1173,Disabled,Failed
T000359,Z2,36d2df,1,0.242,0.712,Linked,14%,33.8,838,Enabled,Valid
T000360,Z3,4a585e,1,0.239,0.665,Anonymous,13%,30.6,1101,Enabled,Valid
T000361,Z4,3835fb,1,0.329,0.678,Anonymous,43%,38.2,285,Enabled,Valid
T000362,Z1,9fc30b,1,0.308,0.582,Linked,36%,31.0,938,Enabled,Valid
T000363,Z1,cd5613,1,0.314,0.615,Linked,38%,30.8,725,Enabled,Failed
T000364,Z3,557039,1,0.326,0.646,Anonymous,42%,30.3,718,Disabled,Valid
T000365,Z5,2fa6d2,1,0.443,0.459,Linked,81%,36.7,678,Disabled,Failed
T000366,Z4,ec3c0e,1,0.335,0.633,Anonymous,45%,30.9,711,Disabled,Valid
T000367,Z2,8fe675,1,0.239,0.744,Anonymous,13%,36.8,705,Enabled,Failed
T000368,Z4,a65630,1,0.314,0.595,Linked,38%,37.3,1074,Disabled,Failed
T000369,Z3,8b3109,1,0.341,0.643,Linked,47%,28.5,362,Enabled,Valid
T000370,Z5,93a590,1,0.365,0.529,Linked,55%,30.3,728,Enabled,Failed
T000371,Z3,98e0a0,1,0.275,0.826,Anonymous,25%,34.1,245,Disabled,Failed
T000372,Z5,0f8d00,1,0.248,0.838,Anonymous,16%,40.1,408,Disabled,Failed
T000373,Z3,7c6ae5,1,0.299,0.615,Linked,33%,38.7,1098,Disabled,Failed
T000374,Z2,0c2f1a,1,0.335,0.686,Linked,45%,30.1,445,Disabled,Failed
T000375,Z4,eacae6,1,0.383,0.48,Anonymous,61%,33.4,1077,Disabled,Valid
T000376,Z5,ac88d5,1,0.431,0.593,Linked,77%,29.9,108,Disabled,Failed
T000377,Z2,2ec2c3,1,0.377,0.51,Linked,59%,34.6,726,Enabled,Valid
T000378,Z1,d8b01f,1,0.395,0.6,Anonymous,65%,40.3,374,Disabled,Failed
T000379,Z4,2085a6,1,0.236,0.866,Linked,12%,30.4,368,Disabled,Valid
T000380,Z5,de7fae,1,0.242,0.805,Linked,14%,32.6,623,Disabled,Valid
T000381,Z1,e3686b,1,0.248,0.679,Linked,16%,37.3,953,Enabled,Valid
T000382,Z5,b452fe,1,0.47,0.308,Linked,90%,27.1,961,Enabled,Valid
T000383,Z5,d3c69c,1,0.425,0.507,Anonymous,75%,37.8,341,Enabled,Valid
T000384,Z1,62ddfc,1,0.428,0.453,Linked,76%,41.6,833,Disabled,Valid
T000385,Z2,96513b,1,0.413,0.574,Anonymous,71%,32.0,105,Enabled,Failed
T000386,Z1,7ec0f6,1,0.425,0.514,Linked,75%,28.1,307,Enabled,Valid
T000387,Z2,b96978,1,0.248,0.829,Anonymous,16%,28.5,457,Disabled,Valid
T000388,Z3,c47db0,0.979,0.266,0.801,Anonymous,22%,39.8,193,Enabled,Failed
T000389,Z2,0a415d,1,0.263,0.735,Anonymous,21%,32.6,801,Disabled,Valid
T000390,Z4,587bd8,1,0.389,0.597,Anonymous,63%,36.7,441,Disabled,Valid
T000391,Z1,e1d94c,1,0.446,0.496,Anonymous,82%,37.2,471,Disabled,Valid
T000392,Z3,6f6dd2,1,0.416,0.452,Linked,72%,28.7,942,Disabled,Valid
T000393,Z3,3df6d2,1,0.428,0.561,Linked,76%,34.8,295,Disabled,Failed
T000394,Z2,9ffd36,1,0.443,0.503,Anonymous,81%,40.4,211,Enabled,Failed
T000395,Z2,06d8e3,1,0.257,0.704,Anonymous,19%,38.3,756,Enabled,Valid
T000396,Z3,50cecf,1,0.383,0.643,Linked,61%,39.3,261,Disabled,Valid
T000397,Z5,c90fa3,1,0.35,0.526,Anonymous,50%,28.8,1118,Disabled,Failed
T000398,Z1,86e5d1,1,0.263,0.7,Linked,21%,38.9,723,Enabled,Valid
T000399,Z2,947a07,1,0.314,0.604,Anonymous,38%,39.7,779,Enabled,Failed
T000400,Z5,c6c525,0.964,0.266,0.729,Anonymous,22%,38.4,554,Enabled,Valid
T000401,Z3,c2650f,1,0.245,0.653,Anonymous,15%,40.5,1108,Enabled,Failed
T000402,Z4,d7d99d,1,0.275,0.644,Linked,25%,41.0,904,Enabled,Valid
T000403,Z2,edf7ed,1,0.455,0.321,Anonymous,85%,28.8,1022,Enabled,Failed
T000404,Z5,bb2eb3,1,0.44,0.332,Linked,80%,41.0,1089,Enabled,Failed
T000405,Z2,39dc5b,1,0.377,0.503,Linked,59%,36.9,759,Enabled,Failed
T000406,Z4,c7a689,1,0.359,0.53,Anonymous,53%,41.6,1027,Disabled,Valid
T000407,Z4,adf4fb,1,0.44,0.498,Anonymous,80%,36.5,511,Disabled,Failed
T000408,Z3,c6600a,1,0.272,0.663,Linked,24%,38.4,1083,Disabled,Valid
T000409,Z4,c306b8,1,0.428,0.394,Anonymous,76%,28.6,880,Enabled,Valid
T000410,Z1,9848ee,1,0.326,0.745,Linked,42%,29.2,227,Disabled,Failed
T000411,Z2,cafe1c,1,0.269,0.773,Anonymous,23%,36.2,559,Disabled,Valid
T000412,Z4,93d42f,1,0.374,0.512,Anonymous,58%,32.8,740,Enabled,Valid
T000413,Z3,915e39,1,0.455,0.475,Linked,85%,35.2,502,Disabled,Failed
T000414,Z2,72785e,1,0.299,0.555,Linked,33%,41.4,1152,Enabled,Valid
T000415,Z4,bbce99,1,0.452,0.508,Linked,84%,39.7,111,Enabled,Valid
T000416,Z2,c25ce4,1,0.47,0.357,Anonymous,90%,36.2,716,Enabled,Failed
T000417,Z5,019306,1,0.299,0.558,Anonymous,33%,34.8,1134,Enabled,Valid
T000418,Z5,70fd6b,1,0.311,0.609,Anonymous,37%,37.0,778,Enabled,Valid
T000419,Z5,32f398,1,0.362,0.56,Linked,54%,33.7,599,Enabled,Failed
T000420,Z3,7e9ee8,1,0.437,0.575,Anonymous,79%,37.9,150,Disabled,Valid
T000421,Z3,9465f1,1,0.245,0.826,Anonymous,15%,31.4,494,Disabled,Valid
T000422,Z1,2d6c1c,1,0.308,0.663,Linked,36%,37.1,536,Enabled,Failed
T000423,Z1,c4da5f,1,0.287,0.649,Anonymous,29%,27.4,779,Enabled,Valid
T000424,Z1,5d09c1,1,0.329,0.53,Linked,43%,33.1,1023,Enabled,Valid
T000425,Z3,4b6733,1,0.467,0.466,Linked,89%,27.9,193,Enabled,Failed
T000426,Z3,cc04f3,1,0.461,0.366,Anonymous,87%,28.3,996,Disabled,Failed
T000427,Z1,6f3c72,1,0.38,0.509,Linked,60%,39.0,704,Enabled,Valid
T000428,Z3,595278,1,0.23,0.719,Linked,10%,35.6,907,Enabled,Valid
T000429,Z1,a88ba0,1,0.386,0.41,Anonymous,62%,40.6,1149,Enabled,Valid
T000430,Z2,fc9fe1,1,0.299,0.743,Linked,33%,37.1,211,Enabled,Failed
T000431,Z5,1e7176,1,0.326,0.521,Anonymous,42%,28.5,1097,Enabled,Valid
T000432,Z2,cf514a,1,0.35,0.546,Linked,50%,34.3,772,Enabled,Failed
T000433,Z5,4beb27,1,0.293,0.724,Anonymous,31%,27.1,604,Disabled,Valid
T000434,Z4,19b061,1,0.413,0.478,Linked,71%,33.9,834,Disabled,Valid
T000435,Z5,5b564b,1,0.281,0.765,Linked,27%,40.4,502,Disabled,Valid
T000436,Z1,d6209c,1,0.455,0.54,Linked,85%,30.2,175,Disabled,Valid
T000437,Z5,a68034,1,0.314,0.671,Anonymous,38%,40.4,695,Disabled,Valid
T000438,Z5,9d1e7a,1,0.32,0.662,Anonymous,40%,39.7,439,Enabled,Valid
T000439,Z4,794ac5,1,0.365,0.505,Linked,55%,27.6,1098,Disabled,Valid
T000440,Z3,4026db,1,0.377,0.499,Linked,59%,34.0,1031,Disabled,Valid
T000441,Z3,1c5398,1,0.452,0.489,Anonymous,84%,35.2,456,Disabled,Failed
T000442,Z3,adfe9d,1,0.314,0.646,Anonymous,38%,34.7,822,Disabled,Failed
T000443,Z4,b0a6aa,1,0.293,0.614,Linked,31%,30.4,1153,Disabled,Valid
T000444,Z2,c1888a,1,0.317,0.6,Anonymous,39%,33.2,776,Enabled,Valid
T000445,Z4,b054c0,1,0.236,0.868,Linked,12%,30.7,361,Disabled,Valid
T000446,Z2,9ffc5b,1,0.293,0.701,Linked,31%,30.9,468,Enabled,Failed
T000447,Z5,9f5053,1,0.311,0.552,Anonymous,37%,33.7,1065,Enabled,Valid
T000448,Z2,847b34,1,0.293,0.685,Linked,31%,37.9,801,Disabled,Valid
T000449,Z5,253dcb,1,0.278,0.767,Anonymous,26%,28.6,514,Disabled,Failed
T000450,Z5,f8f669,1,0.41,0.564,Linked,70%,40.5,179,Enabled,Failed
T000451,Z5,4a8f0a,1,0.461,0.495,Anonymous,87%,35.1,102,Enabled,Failed
T000452,Z4,afc223,1,0.431,0.348,Anonymous,77%,33.4,1087,Enabled,Failed
T000453,Z3,6109c6,1,0.326,0.625,Anonymous,42%,34.2,576,Enabled,Failed
T000454,Z3,6452a6,1,0.302,0.807,Anonymous,34%,27.1,114,Disabled,Valid
T000455,Z5,c65dce,1,0.386,0.607,Linked,62%,32.4,416,Disabled,Failed
T000456,Z3,4d006d,1,0.464,0.377,Anonymous,88%,31.1,913,Disabled,Valid
T000457,Z5,a2f6e1,1,0.443,0.471,Linked,81%,35.3,619,Disabled,Failed
T000458,Z4,0b3b69,1,0.29,0.622,Linked,30%,28.5,1141,Disabled,Failed
T000459,Z5,49e8be,1,0.23,0.871,Linked,10%,39.1,397,Disabled,Failed
T000460,Z4,777dd5,1,0.371,0.63,Anonymous,57%,28.2,177,Enabled,Valid
T000461,Z4,74e7b8,1,0.296,0.59,Anonymous,32%,36.6,999,Enabled,Valid
T000462,Z5,f0a5eb,1,0.464,0.475,Linked,88%,29.5,173,Enabled,Valid
T000463,Z1,5e5031,1,0.365,0.539,Anonymous,55%,37.0,930,Disabled,Valid
T000464,Z1,8f579c,1,0.362,0.597,Anonymous,54%,41.4,666,Disabled,Failed
T000465,Z2,83b54a,1,0.296,0.776,Linked,32%,33.1,318,Disabled,Valid
T000466,Z3,da2a3b,1,0.398,0.452,Anonymous,66%,41.5,1090,Disabled,Valid
T000467,Z3,b7c79b,1,0.272,0.703,Linked,24%,30.9,883,Disabled,Failed
T000468,Z2,ae43aa,1,0.428,0.492,Anonymous,76%,35.0,639,Disabled,Valid
T000469,Z4,4c9be4,1,0.35,0.62,Linked,50%,32.3,651,Disabled,Failed
T000470,Z2,a6508b,1,0.329,0.632,Linked,43%,30.1,515,Enabled,Valid
T000471,Z5,20ccb9,1,0.26,0.628,Linked,20%,37.1,1108,Enabled,Valid
T000472,Z5,af4d20,1,0.419,0.503,Anonymous,73%,40.5,662,Disabled,Valid
T000473,Z5,0e200d,1,0.248,0.677,Linked,16%,34.9,966,Enabled,Failed
T000474,Z1,20db8f,1,0.404,0.378,Anonymous,68%,41.6,1161,Enabled,Valid
T000475,Z1,048b8d,1,0.353,0.569,Anonymous,51%,32.4,631,Enabled,Valid
T000476,Z2,a038c4,1,0.299,0.729,Anonymous,33%,34.5,531,Disabled,Valid
T000477,Z3,9839c4,1,0.299,0.721,Anonymous,33%,35.6,568,Disabled,Valid
T000478,Z3,24523c,1,0.284,0.729,Anonymous,28%,39.0,406,Enabled,Failed
T000479,Z2,6e5f8a,1,0.416,0.601,Linked,72%,31.5,197,Disabled,Valid
T000480,Z2,c08294,1,0.47,0.393,Anonymous,90%,28.4,785,Disabled,Valid
T000481,Z5,01f78e,1,0.386,0.539,Anonymous,62%,28.8,507,Enabled,Failed
T000482,Z5,c91ae9,1,0.425,0.422,Anonymous,75%,34.3,1015,Disabled,Valid
T000483,Z5,d8eef1,1,0.359,0.499,Linked,53%,33.3,928,Enabled,Failed
T000484,Z1,d1c208,1,0.35,0.621,Linked,50%,36.8,647,Disabled,Failed
T000485,Z3,1f7fb5,1,0.293,0.816,Anonymous,31%,29.8,147,Disabled,Valid
T000486,Z3,cb485e,1,0.269,0.671,Linked,23%,28.4,1069,Disabled,Valid
T000487,Z4,f1347c,1,0.467,0.375,Linked,89%,29.3,898,Disabled,Valid
T000488,Z3,576289,1,0.239,0.719,Linked,13%,27.5,830,Enabled,Failed
T000489,Z4,28b45e,1,0.281,0.773,Anonymous,27%,41.5,462,Disabled,Valid
T000490,Z5,b822a3,1,0.413,0.588,Anonymous,71%,35.1,283,Disabled,Valid
T000491,Z4,91c756,1,0.23,0.824,Anonymous,10%,34.8,379,Enabled,Valid
T000492,Z5,55e3ef,1,0.233,0.805,Anonymous,11%,38.5,699,Disabled,Valid
T000493,Z1,90814d,1,0.443,0.473,Linked,81%,33.6,611,Disabled,Failed
T000494,Z4,ac92a1,1,0.392,0.398,Anonymous,64%,36.4,1158,Enabled,Failed
T000495,Z5,02b372,1,0.302,0.735,Anonymous,34%,39.8,473,Disabled,Valid
T000496,Z4,389089,1,0.302,0.748,Anonymous,34%,31.8,411,Disabled,Failed
T000497,Z1,107bcf,1,0.278,0.847,Anonymous,26%,37.7,116,Disabled,Valid
T000498,Z1,4cccb8,1,0.347,0.531,Anonymous,49%,38.8,1120,Disabled,Valid
T000499,Z1,b43d8f,1,0.332,0.681,Linked,44%,38.6,246,Enabled,Valid
T000500,Z2,3518de,1,0.323,0.544,Linked,41%,32.8,1007,Enabled,Failed
T000501,Z1,45b5d2,1,0.41,0.452,Linked,70%,32.8,739,Enabled,Valid
T000502,Z1,24a7c0,1,0.413,0.544,Linked,71%,36.6,506,Disabled,Failed
T000503,Z2,f9661d,1,0.233,0.812,Anonymous,11%,29.5,665,Disabled,Valid
T000504,Z2,5e7ef7,1,0.371,0.543,Anonymous,57%,38.6,609,Enabled,Valid
T000505,Z5,9b207d,1,0.287,0.791,Linked,29%,37.5,319,Disabled,Valid
T000506,Z3,c79f33,1,0.236,0.723,Anonymous,12%,37.3,833,Enabled,Valid
T000507,Z1,d9a082,1,0.302,0.668,Anonymous,34%,35.5,812,Disabled,Failed
T000508,Z3,2fb069,1,0.401,0.487,Linked,67%,31.4,639,Enabled,Valid
T000509,Z1,b1d846,1,0.467,0.387,Linked,89%,39.9,589,Enabled,Failed
T000510,Z5,cdfa8a,1,0.464,0.322,Anonymous,88%,31.2,939,Enabled,Failed
T000511,Z1,ce6bf5,1,0.296,0.687,Linked,32%,40.1,513,Enabled,Valid
T000512,Z1,dc4a13,0.806,0.248,0.871,Anonymous,16%,32.5,245,Disabled,Failed
T000513,Z2,c1397b,1,0.368,0.48,Anonymous,56%,35.4,951,Enabled,Valid
T000514,Z1,4dc719,1,0.344,0.602,Linked,48%,28.2,542,Enabled,Valid
T000515,Z2,4ea268,1,0.431,0.472,Linked,77%,36.9,466,Enabled,Failed
T000516,Z4,011823,1,0.269,0.791,Anonymous,23%,29.5,469,Disabled,Valid
T000517,Z3,ce5acf,1,0.35,0.597,Anonymous,50%,35.3,764,Disabled,Valid
T000518,Z4,96ad27,1,0.44,0.476,Linked,80%,40.9,620,Disabled,Failed
T000519,Z4,072268,1,0.458,0.495,Linked,86%,27.2,376,Disabled,Valid
T000520,Z3,62b21c,1,0.335,0.496,Anonymous,45%,40.8,1147,Enabled,Failed
T000521,Z5,6fbfa3,1,0.365,0.597,Linked,55%,29.3,642,Disabled,Failed
T000522,Z2,aebcef,1,0.449,0.426,Anonymous,83%,33.0,545,Enabled,Valid
T000523,Z3,3af34a,1,0.458,0.485,Anonymous,86%,36.6,176,Enabled,Failed
T000524,Z4,91e584,1,0.395,0.606,Anonymous,65%,33.2,346,Disabled,Failed
T000525,Z5,1e54d5,1,0.431,0.534,Linked,77%,27.6,406,Disabled,Valid
T000526,Z2,25d018,1,0.458,0.513,Anonymous,86%,35.6,284,Disabled,Valid
T000527,Z4,842c43,1,0.41,0.56,Anonymous,70%,35.6,200,Enabled,Valid
T000528,Z1,059570,1,0.281,0.714,Anonymous,27%,34.2,505,Enabled,Valid
T000529,Z5,9c0a1b,1,0.257,0.659,Linked,19%,31.0,980,Enabled,Failed
T000530,Z5,636c56,1,0.368,0.569,Anonymous,56%,32.2,756,Disabled,Failed
T000531,Z1,e23187,1,0.467,0.517,Anonymous,89%,29.2,191,Disabled,Failed
T000532,Z2,cb8ab6,1,0.248,0.79,Linked,16%,30.6,402,Enabled,Failed
T000533,Z3,168095,1,0.401,0.509,Linked,67%,34.1,779,Disabled,Failed
T000534,Z2,1b3f59,1,0.467,0.477,Anonymous,89%,37.9,389,Disabled,Failed
T000535,Z1,773077,1,0.293,0.743,Linked,31%,27.9,511,Disabled,Valid
T000536,Z3,c7042b,1,0.377,0.488,Linked,59%,36.9,837,Enabled,Valid
T000537,Z3,0340d1,1,0.35,0.462,Anonymous,50%,34.3,1188,Enabled,Valid
T000538,Z5,e4b713,1,0.431,0.344,Linked,77%,31.6,1103,Enabled,Failed
T000539,Z1,68d773,1,0.32,0.575,Anonymous,40%,41.9,1126,Disabled,Failed
T000540,Z3,8ed4c9,1,0.287,0.624,Anonymous,29%,32.1,904,Enabled,Valid
T000541,Z4,7752f6,1,0.449,0.387,Anonymous,83%,29.3,739,Enabled,Failed
T000542,Z4,8baa5a,1,0.452,0.427,Linked,84%,35.1,514,Enabled,Valid
T000543,Z5,ec9f1b,1,0.35,0.462,Linked,50%,28.0,1191,Enabled,Valid
T000544,Z3,0a574d,1,0.386,0.558,Anonymous,62%,31.6,660,Disabled,Failed
T000545,Z1,792bfd,1,0.461,0.451,Linked,87%,35.5,572,Disabled,Valid
T000546,Z1,86457a,1,0.422,0.368,Anonymous,74%,39.7,1060,Enabled,Failed
T000547,Z2,bc3050,1,0.29,0.767,Anonymous,30%,29.9,166,Enabled,Valid
T000548,Z1,d5ce1e,1,0.308,0.57,Linked,36%,28.0,999,Enabled,Failed
T000549,Z3,1cded5,1,0.245,0.749,Anonymous,15%,36.1,879,Disabled,Valid
T000550,Z5,d2a6c1,1,0.401,0.578,Linked,67%,33.9,186,Enabled,Failed
T000551,Z5,965337,1,0.428,0.58,Linked,76%,38.5,200,Disabled,Valid
T000552,Z4,e7691b,1,0.392,0.588,Anonymous,64%,31.4,211,Enabled,Valid
T000553,Z2,e5737b,1,0.299,0.71,Linked,33%,38.7,377,Enabled,Valid
T000554,Z4,ef24a9,1,0.404,0.457,Anonymous,68%,28.4,763,Enabled,Failed
T000555,Z2,78a9f2,1,0.368,0.543,Linked,56%,28.3,886,Disabled,Failed
T000556,Z5,9d4ec7,1,0.245,0.768,Anonymous,15%,38.5,786,Disabled,Failed
T000557,Z2,351ccd,1,0.389,0.432,Linked,63%,31.6,1013,Enabled,Failed
T000558,Z1,7db4c9,1,0.233,0.721,Linked,11%,33.9,1121,Disabled,Failed
T000559,Z5,c15f87,1,0.404,0.608,Linked,68%,33.2,262,Disabled,Valid
T000560,Z2,d5d46e,1,0.299,0.622,Linked,33%,29.2,814,Enabled,Valid
T000561,Z1,eeaeb4,1,0.248,0.777,Anonymous,16%,28.6,465,Enabled,Valid
T000562,Z5,a87f08,1,0.242,0.788,Anonymous,14%,28.4,712,Disabled,Valid
T000563,Z4,e57daf,1,0.41,0.518,Linked,70%,29.0,662,Disabled,Failed
T000564,Z5,ac2d52,1,0.449,0.298,Linked,83%,37.9,1183,Enabled,Failed
T000565,Z5,06ca65,1,0.431,0.45,Anonymous,77%,35.6,824,Disabled,Valid
T000566,Z5,d37854,1,0.299,0.72,Anonymous,33%,40.3,576,Disabled,Valid
T000567,Z2,0b7430,1,0.47,0.445,Linked,90%,39.0,524,Disabled,Failed
T000568,Z4,da3756,1,0.443,0.488,Anonymous,81%,39.1,534,Disabled,Failed
T000569,Z3,b90d19,1,0.422,0.608,Anonymous,74%,35.2,112,Disabled,Failed
T000570,Z3,94301c,1,0.356,0.474,Linked,52%,39.5,1081,Enabled,Failed
T000571,Z1,b12fdf,1,0.434,0.401,Linked,78%,40.4,1047,Disabled,Failed
T000572,Z1,f690b4,1,0.308,0.614,Anonymous,36%,35.7,779,Enabled,Failed
T000573,Z3,fe6f23,1,0.359,0.446,Anonymous,53%,41.8,1194,Enabled,Valid
T000574,Z5,cd2efb,1,0.35,0.619,Linked,50%,37.6,656,Disabled,Valid
T000575,Z2,4666a8,1,0.431,0.499,Anonymous,77%,31.5,329,Enabled,Failed
T000576,Z2,19b0b2,1,0.422,0.471,Linked,74%,29.3,796,Disabled,Failed
T000577,Z5,b5fb0a,1,0.428,0.496,Linked,76%,37.2,371,Enabled,Failed
T000578,Z4,5343b6,1,0.347,0.649,Linked,49%,41.0,278,Enabled,Valid
T000579,Z1,3aba7d,1,0.449,0.429,Anonymous,83%,38.4,529,Enabled,Valid
T000580,Z3,585368,1,0.275,0.791,Anonymous,25%,31.1,422,Disabled,Valid
T000581,Z5,081deb,1,0.437,0.405,Linked,79%,32.3,752,Enabled,Valid
T000582,Z3,90769f,1,0.347,0.546,Linked,49%,36.2,793,Enabled,Valid
T000583,Z2,a37c3a,1,0.377,0.46,Linked,59%,27.8,973,Enabled,Valid
T000584,Z5,5d86e8,1,0.356,0.502,Anonymous,52%,39.3,1192,Disabled,Failed
T000585,Z4,768bc3,1,0.266,0.679,Linked,22%,33.8,1053,Disabled,Valid
T000586,Z2,1230ce,1,0.299,0.68,Anonymous,33%,37.5,776,Disabled,Failed
T000587,Z3,5f2ef4,1,0.41,0.384,Linked,70%,28.7,1080,Enabled,Failed
T000588,Z3,6d924e,1,0.269,0.836,Linked,23%,31.9,245,Disabled,Valid
T000589,Z4,55c43a,1,0.44,0.333,Linked,80%,29.4,1087,Enabled,Valid
T000590,Z2,20ae02,1,0.437,0.514,Anonymous,79%,37.4,454,Disabled,Failed
T000591,Z5,5503cc,1,0.443,0.393,Anonymous,81%,28.5,1011,Disabled,Valid
T000592,Z4,a1db59,1,0.419,0.59,Anonymous,73%,36.7,225,Disabled,Valid
T000593,Z2,d97ca5,1,0.401,0.435,Linked,67%,35.0,898,Enabled,Failed
T000594,Z2,7beaa7,1,0.395,0.514,Anonymous,65%,37.8,805,Disabled,Failed
T000595,Z5,9904ea,0.811,0.251,0.873,Linked,17%,32.5,208,Disabled,Valid
T000596,Z3,55770d,1,0.395,0.444,Linked,65%,37.5,907,Enabled,Valid
